"artikellink href","artikellink src","artikelbeschreibung","artikellink","artikelbeschreibung 2","artikelbeschreibung 3","artikelbeschreibung 4","artikelbeschreibung 5","artikelampel","artikelampel src","artikeldetail","preisanzeigealt","artikeldetail 2","txtpopup","siesparen","preisanzeige","artikelangebot src"
"https://www.bikecenter.de/Cervelo_Aspero_5_-_Campagnolo_Ekar_-_Lime_Shimmer_-_Gr.61cm.html","https://www.bikecenter.de/getimage.php?artikelid=000000-627be21ced776&size=m&image=1","Art.Nr. CER45728770M","Cervelo Aspero 5 - Campagnolo Ekar - Lime Shimmer - Gr.61cm","Rahmen: Cervélo All-Carbon / Aspero 5","Gabel: Cervélo All-Carbon / Tapered Áspero-5 Fork with Adjustable Trailmix","Antrieb: Campagnolo Ekar 1x13-fachKassette: Campagnolo Ekar / 13-fach / 9-42Z.","Kurbelgarnitur: Campagnolo Ekar / 38Z.","Lieferbar in  3-7 Tagen","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_gruen.png","statt  () pro Stück  (inkl. MwSt. zzgl. )","7.290,00 EUR","UVP","Versandkosten für Grossartikel","Sie sparen 45.1%","3.999,00 EUR",""
"https://www.bikecenter.de/Cervelo_Aspero_5_mit_Campagnolo_Ekar,_Farbe_Champagne_Rose,_Gr._48cm.html","https://www.bikecenter.de/getimage.php?artikelid=000000-67d54954cc8c6&size=m&image=1","Art.Nr. Asp2654835_kopie
			Große Strecken abseits von Autos und Verkehr zurücklegen?
Dieses Bike ist wie dafür gemacht!
Egal ob breite Forstwege oder schmale Pfade,
mit diesem Bike legst du Kilometer zurück.


Bei uns Umgebaut auf Vollintegration der Zuglegung! (Kein aussenliegendes Kabel!)","Cervelo Aspero 5 mit Campagnolo Ekar, Farbe: Champagne Rose, Gr. 48cm","","","","","Lieferbar in  3-7 Tagen","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_gruen.png","statt  () pro Stück  (inkl. MwSt. zzgl. )","5.999,00 EUR","UVP","Versandkosten für Grossartikel","Sie sparen 23.3%","4.599,00 EUR","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ecke_neu.png"
"https://www.bikecenter.de/Cervelo_Aspero_5_mit_Campagnolo_Ekar,_Farbe_Champagne_Rose,_Gr._51cm.html","https://www.bikecenter.de/getimage.php?artikelid=000000-6748e39c6cc87&size=m&image=1","Art.Nr. ASP26486441E
			Große Strecken abseits von Autos und Verkehr zurücklegen?
Dieses Bike ist wie dafür gemacht!
Egal ob breite Forstwege oder schmale Pfade,
mit diesem Bike legst du Kilometer zurück.


Bei uns Umgebaut auf Vollintegration der Zuglegung! (Kein aussenliegendes Kabel!)","Cervelo Aspero 5 mit Campagnolo Ekar, Farbe: Champagne Rose, Gr. 51cm","","","","","im Ladengeschäft verfügbar","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_haus.png","statt  () pro Stück  (inkl. MwSt. zzgl. )","5.999,00 EUR","UVP","Versandkosten für Grossartikel","Sie sparen 20%","4.799,00 EUR","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ecke_neu.png"
"https://www.bikecenter.de/Cervelo_R_5_CX,_mit_Sram_Red_2026_XX1,_Farbe_Camouflage_Lila,_Gr.54cm.html","https://www.bikecenter.de/getimage.php?artikelid=000000-6684eac6617ee&size=m&image=1","Art.Nr. CER21228909E
			Heiße Öfen !

UCI Konform - gebaut um Radrennen zu gewinnen!","Cervelo R 5 CX, mit Sram Red 2026 &  XX1, Farbe: Camouflage Lila, Gr.54cm","","","","","Lieferbar in  3-7 Tagen","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_gruen.png","statt  () pro Stück  (inkl. MwSt. zzgl. )","13.990,00 EUR","UVP","Versandkosten für Grossartikel","Sie sparen 10.7%","12.500,00 EUR","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ecke_neu.png"
"https://www.bikecenter.de/Cervelo_Rouvida,_Carbon_E_-_Gravel,_E-Bike_Sram_Rival_XPLR_AXS1,_Schwarz_Gr.M.html","https://www.bikecenter.de/getimage.php?artikelid=000000-65c2060c7c3c3&size=m&image=1","Art.Nr. CervE_M","Cervelo Rouvida, Carbon E - Gravel, E-Bike Sram Rival XPLR AXS1, Schwarz Gr.M","In der Gravelbike-Version erhält das Rouvida einen um 0,7 Grad flacheren Lenkwinkel. Dieser soll für ein souveräneres Handling auf Schotter sorgen","Der Nachlauf der Gabel wächst in der Gravelbike-Version von 57,9 auf 62 Millimeter an","Das Gravelbike-Setup des Rouvida bietet einen um 7 Millimeter höheren Stack und einen um 5 Millimeter kürzeren Reach. So erlaubt es also eine insgesamt aufrechtere, komfortablere Sitzposition","Die Reifenfreiheit wächst in der Gravel-Variante von 34 auf 43,5 Millimeter an","Bitte erfragen Sie die Verfügbarkeit","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_grau.png","pro Stück  (inkl. MwSt. zzgl. )","","","Versandkosten für Grossartikel","","8.299,00 EUR",""
"https://www.bikecenter.de/Cervelo_Rouvida,_Carbon_E_-_Gravel,_E-Bike,_Schimano_GRX_610,_Plasma_Blue,_Gr.S.html","https://www.bikecenter.de/getimage.php?artikelid=000000-65c21082027a5&size=m&image=1","Art.Nr. CervEGRXS","Cervelo Rouvida, Carbon E - Gravel, E-Bike, Schimano GRX 610, Plasma Blue, Gr.S","In der Gravelbike-Version erhält das Rouvida einen um 0,7 Grad flacheren Lenkwinkel. Dieser soll für ein souveräneres Handling auf Schotter sorgen","Der Nachlauf der Gabel wächst in der Gravelbike-Version von 57,9 auf 62 Millimeter an","Das Gravelbike-Setup des Rouvida bietet einen um 7 Millimeter höheren Stack und einen um 5 Millimeter kürzeren Reach. So erlaubt es also eine insgesamt aufrechtere, komfortablere Sitzposition","Die Reifenfreiheit wächst in der Gravel-Variante von 34 auf 43,5 Millimeter an","Bitte erfragen Sie die Verfügbarkeit","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_grau.png","pro Stück  (inkl. MwSt. zzgl. )","","","Versandkosten für Grossartikel","","6.799,00 EUR","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ecke_neu.png"
"https://www.bikecenter.de/Cervelo_Smartpak_400_-_Oberrohrtasche_f%C3%BCr_Cerv%C3%A9lo_Aspero.html","https://www.bikecenter.de/getimage.php?artikelid=000000-6391a2aa71ae9&size=m&image=1","Art.Nr. CER37363896C
			Das Smartpak 400A wurde speziell für das Cervélo Aspero entworfen und passt daher perfekt für den Rahmen.
Die Oberrohrtasche kann aber auch an anderen Rahmen passen, sofern Gewinde auf dem Oberrohr vorhanden sind.","Cervelo Smartpak 400 - Oberrohrtasche für Cervélo Aspero","","","","","im Ladengeschäft verfügbar","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_haus.png","pro Stück  (inkl. MwSt. zzgl. )","","","Versandkosten für Standardartikel","","54,90 EUR",""
"https://www.bikecenter.de/Look_765_Gravel_Shimano_GRX_600,_2024_Gr.XS.html","https://www.bikecenter.de/getimage.php?artikelid=000000-67926d14adaf8&size=m&image=1","Art.Nr. LOO38443854S
			Verschmelzen Sie mit dem 765 GRAVEL Green Mat mit der Landschaft. Mit dem Rahmen und der Gabel aus Carbon, der Shimano GRX-Gruppe und den RS-Laufrädern aus dem gleichen Hause rasen Sie durch die Landschaft. Der Sattel und das Cockpit Made by LOOK tun ihr Übriges, um Ihnen zu helfen, von der Straße auf Wege und umgekehrt zu wechseln, ohne dass Sie es merken.","Look 765 Gravel Shimano GRX 600, 2024 Gr.XS","","","","","im Ladengeschäft verfügbar","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_haus.png","statt  () pro Stück  (inkl. MwSt. zzgl. )","3.799,00 EUR","UVP","Versandkosten für Standardartikel","Sie sparen 26.6%","2.790,00 EUR",""
"https://www.bikecenter.de/Mondraker_Arid_Alu,_Bronze/Schwarz,_2025,_Gr._L.html","https://www.bikecenter.de/getimage.php?artikelid=000000-6829fa1cc7b2f&size=m&image=1","Art.Nr. Arid1_L_Alu
			Das Arid Alu ist der kleine Ableger der Carbonvariante.
Aber auch bei diesem Modell kommt hier die Stealth Air Carbon Gabel zum Einsatz und sorgt für ausreichend Comfort im Cockpit!
Die Gravel spezifische Shimano GRX RX-610 Gruppe mit einem 40er Kettenblatt und einer 10-45 12-fach Kassette. Die Mavic Allroad Disc 25mm Laufräder sind für maximalen Grip und niedrigen Rollwiederstand mit Maxxis 45mm Reaver EXO 120TPI Reifen komplettiert.","Mondraker Arid Alu, Bronze/Schwarz, 2025, Gr.: L","","","","","Lieferbar in  3-7 Tagen","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_gruen.png","statt  () pro Stück  (inkl. MwSt. zzgl. )","2.399,00 EUR","UVP","Versandkosten für Grossartikel","Sie sparen 8.3%","2.199,00 EUR",""
"https://www.bikecenter.de/Mondraker_Arid_Alu,_Bronze/Schwarz,_2025,_Gr._M.html","https://www.bikecenter.de/getimage.php?artikelid=000000-6829f82e689e4&size=m&image=1","Art.Nr. Arid1_M_Alu
			Das Arid Alu ist der kleine Ableger der Carbonvariante.
Aber auch bei diesem Modell kommt hier die Stealth Air Carbon Gabel zum Einsatz und sorgt für ausreichend Comfort im Cockpit!
Die Gravel spezifische Shimano GRX RX-610 Gruppe mit einem 40er Kettenblatt und einer 10-45 12-fach Kassette. Die Mavic Allroad Disc 25mm Laufräder sind für maximalen Grip und niedrigen Rollwiederstand mit Maxxis 45mm Reaver EXO 120TPI Reifen komplettiert.","Mondraker Arid Alu, Bronze/Schwarz, 2025, Gr.: M","","","","","Lieferbar in  3-7 Tagen","https://www.bikecenter.de/layout/bikecenter_garmisch/img/ampel_gruen.png","statt  () pro Stück  (inkl. MwSt. zzgl. )","2.399,00 EUR","UVP","Versandkosten für Grossartikel","Sie sparen 8.3%","2.199,00 EUR",""
